anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,municipio_hecho,latitud,longitud,dia_semana,mes_codificado,alcaldia_codificada,hora_minutos,conteoDelitos
2021,Abril,2021-04-25,00:00:00,2021.0,Marzo,2021-03-16,15:55:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-4,UI-3SD,LOMAS DE BECERRA,Lomas De Becerra,ALVARO OBREGON,Álvaro Obregón,CDMX,19.3846,-99.21433,2.0,7,0,955.0,772.0
2021,Agosto,2021-08-20,00:00:00,2021.0,Agosto,2021-08-18,14:10:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-4,UI-3SD,SANTA FE,Cuevitas,ALVARO OBREGON,Álvaro Obregón,CDMX,19.38601,-99.22652,3.0,1,0,850.0,789.0
2023,Abril,2023-04-13,21:13:39,2023.0,Abril,2023-04-13,20:35:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-1CD,PUEBLO SANTA FE,Pueblo Santa Fe,ALVARO OBREGON,Álvaro Obregón,CDMX,19.3846912264631,-99.2353164599655,4.0,0,0,1235.0,754.0
2021,Julio,2021-07-24,00:00:00,2021.0,Julio,2021-07-24,12:05:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-3CD,GOLONDRINAS,Golondrinas,ALVARO OBREGON,Álvaro Obregón,CDMX,19.37796,-99.21338,6.0,5,0,725.0,740.0
2021,Noviembre,2021-11-03,00:00:00,2021.0,Octubre,2021-10-03,04:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,AGENCIA DE DENUNCIA DIGITAL,CEN-1,Unidad de Investigación 1 S/D,LA MEXICANA,Ampliacion La Mexicana,ALVARO OBREGON,Álvaro Obregón,CDMX,19.38237,-99.22977,7.0,10,0,290.0,802.0
2020,Octubre,2020-10-10,00:00:00,2020.0,Octubre,2020-10-10,18:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-1CD,ZEDEC SANTA FE,Santa Fe,ALVARO OBREGON,Álvaro Obregón,CDMX,19.37812,-99.24834,6.0,10,0,1110.0,802.0
2021,Octubre,2021-10-04,00:00:00,2021.0,Octubre,2021-10-04,18:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-3CD,8 DE AGOSTO,8 De Agosto,ALVARO OBREGON,Álvaro Obregón,CDMX,19.39501,-99.18988,1.0,10,0,1130.0,802.0
2021,Octubre,2021-10-09,00:00:00,2021.0,Octubre,2021-10-09,18:40:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN ESTRATÉGICA CENTRAL,ACI,UI-2CD,PARAÍSO,Paraiso,ALVARO OBREGON,Álvaro Obregón,CDMX,19.38851,-99.21384,6.0,10,0,1120.0,802.0
2023,Septiembre,2023-09-10,03:25:46,2023.0,Septiembre,2023-09-10,02:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-3CD,PROGRESO,Progreso Tizapan,ALVARO OBREGON,Álvaro Obregón,CDMX,19.342616482576,-99.1993157598932,7.0,11,0,135.0,753.0
2023,Agosto,2023-08-07,19:47:23,2023.0,Agosto,2023-08-07,19:48:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-3CD,2A SECCIÓN CAÑADA,1ra Seccion Cañada,ALVARO OBREGON,Álvaro Obregón,CDMX,19.3814023297495,-99.2272098399888,1.0,1,0,1188.0,789.0
