anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,municipio_hecho,latitud,longitud,dia_semana,mes_codificado,alcaldia_codificada,hora_minutos,conteoDelitos
2021,Abril,25/04/2021,00:00:00,2021,Marzo,16/03/2021,15:55:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-4,UI-3SD,LOMAS DE BECERRA,Lomas De Becerra,ALVARO OBREGON,Álvaro Obregón,CDMX,19.3846,-99.21433,2,7,0,955,772
2021,Agosto,20/08/2021,00:00:00,2021,Agosto,18/08/2021,14:10:00,ROBO A TRANSEUNTE EN PARQUES Y MERCADOS CON VIOLENCIA,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-4,UI-3SD,SANTA FE,Cuevitas,ALVARO OBREGON,Álvaro Obregón,CDMX,19.38601,-99.22652,3,1,0,850,789
2023,Abril,13/04/2023,21:13:39,2023,Abril,13/04/2023,20:35:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-1CD,PUEBLO SANTA FE,Pueblo Santa Fe,ALVARO OBREGON,Álvaro Obregón,CDMX,19.38469123,-99.23531646,4,0,0,1235,754
2021,Julio,24/07/2021,00:00:00,2021,Julio,24/07/2021,12:05:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-3CD,GOLONDRINAS,Golondrinas,ALVARO OBREGON,Álvaro Obregón,CDMX,19.37796,-99.21338,6,5,0,725,740
2021,Noviembre,03/11/2021,00:00:00,2021,Octubre,03/10/2021,04:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,AGENCIA DE DENUNCIA DIGITAL,CEN-1,Unidad de Investigación 1 S/D,LA MEXICANA,Ampliacion La Mexicana,ALVARO OBREGON,Álvaro Obregón,CDMX,19.38237,-99.22977,7,10,0,290,802
2020,Octubre,10/10/2020,00:00:00,2020,Octubre,10/10/2020,18:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-1CD,ZEDEC SANTA FE,Santa Fe,ALVARO OBREGON,Álvaro Obregón,CDMX,19.37812,-99.24834,6,10,0,1110,802
2021,Octubre,04/10/2021,00:00:00,2021,Octubre,04/10/2021,18:50:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-3CD,8 DE AGOSTO,8 De Agosto,ALVARO OBREGON,Álvaro Obregón,CDMX,19.39501,-99.18988,1,10,0,1130,802
2021,Octubre,09/10/2021,00:00:00,2021,Octubre,09/10/2021,18:40:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN ESTRATÉGICA CENTRAL,ACI,UI-2CD,PARAÍSO,Paraiso,ALVARO OBREGON,Álvaro Obregón,CDMX,19.38851,-99.21384,6,10,0,1120,802
2023,Septiembre,10/09/2023,03:25:46,2023,Septiembre,10/09/2023,02:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-3CD,PROGRESO,Progreso Tizapan,ALVARO OBREGON,Álvaro Obregón,CDMX,19.34261648,-99.19931576,7,11,0,135,753
2023,Agosto,07/08/2023,19:47:23,2023,Agosto,07/08/2023,19:48:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN ALVARO OBREGÓN,AO-3,UI-3CD,2A SECCIÓN CAÑADA,1ra Seccion Cañada,ALVARO OBREGON,Álvaro Obregón,CDMX,19.38140233,-99.22720984,1,1,0,1188,789
