,anio_inicio,mes_inicio,fecha_inicio,hora_inicio,anio_hecho,mes_hecho,fecha_hecho,hora_hecho,delito,categoria_delito,fiscalia,agencia,colonia_hecho,colonia_catalogo,alcaldia_hecho,alcaldia_catalogo,latitud,longitud,fecha_hora_hecho,dia_semana_hecho,dia_semana,conteo_delitos
62213,2020,JULIO,2020-07-28,00:00:00,2020.0,7,2020-07-28,13,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN CUAUHTEMOC,CUH-2,DOCTORES,DOCTORES,CUAUHTEMOC,CUAUHTEMOC,19.41438,-99.14522,2020-07-28 13:45:00,1,Tuesday,1861
84634,2023,MARZO,2023-03-19,05:31:08,2023.0,3,2023-03-19,4,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN ALVARO OBREGON,AO-3,CALZADA JALALPA,2DA SECCION CANADA,ALVARO OBREGON,ALVARO OBREGON,19.3818772480643,-99.2255818501282,2023-03-19 04:15:00,6,Sunday,769
89743,2023,DICIEMBRE,2023-12-07,13:04:54,2023.0,9,2023-09-26,23,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN IZTAPALAPA,IZP-9,SANTA MARTHA ACATITLA,PUEBLO SANTA MARTHA ACATITLA,IZTAPALAPA,IZTAPALAPA,19.3549449876006,-99.0094167003076,2023-09-26 23:35:00,1,Tuesday,1993
41862,2018,NOVIEMBRE,2018-11-08,00:00:00,2018.0,11,2018-11-08,19,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN GUSTAVO A. MADERO,GAM-2,LA PURISIMA TICOMAN,BARRIO LA PURISIMA TICOMAN,GUSTAVO A. MADERO,GUSTAVO A. MADERO,19.51255,-99.13497,2018-11-08 19:20:00,3,Thursday,1190
16231,2017,JUNIO,2017-06-19,00:00:00,2017.0,6,2017-06-19,16,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN CUAUHTEMOC,CUH-2,ROMA NORTE,ROMA NORTE,CUAUHTEMOC,CUAUHTEMOC,19.418,-99.15713,2017-06-19 16:00:00,0,Monday,1879
9162,2016,DICIEMBRE,2016-12-06,00:00:00,2016.0,12,2016-12-03,15,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN BENITO JUAREZ,BJ-3,CENTRO,CENTRO,CUAUHTEMOC,CUAUHTEMOC,19.4249,-99.13295,2016-12-03 15:40:00,5,Saturday,2175
11486,2017,FEBRERO,2017-02-10,00:00:00,2017.0,2,2017-02-09,22,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACION EN BENITO JUAREZ,BJ-3,NARVARTE,NARVARTE PONIENTE,BENITO JUAREZ,BENITO JUAREZ,19.39593,-99.15752,2017-02-09 22:15:00,3,Thursday,773
15627,2017,JUNIO,2017-06-05,00:00:00,2017.0,6,2017-06-04,3,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,INVESTIGACION EN CUAUHTEMOC,CUH-7,CONDESA,CONDESA,CUAUHTEMOC,CUAUHTEMOC,19.41307,-99.17264,2017-06-04 03:30:00,6,Sunday,1879
68983,2021,MAYO,2021-05-20,00:00:00,2021.0,5,2021-05-20,22,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON Y SIN VIOLENCIA,FISCALIA DE INVESTIGACION TERRITORIAL EN GUSTAVO A. MADERO,GAM-4,AMPLIACION CASAS ALEMAN,AMPLIACION CASAS ALEMAN,GUSTAVO A. MADERO,GUSTAVO A. MADERO,19.47583,-99.08962,2021-05-20 22:15:00,3,Thursday,1012
20572,2017,SEPTIEMBRE,2017-09-25,00:00:00,2017.0,8,2017-08-19,4,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACION EN CUAUHTEMOC,URI-CUH-2,JUAREZ,JUAREZ,CUAUHTEMOC,CUAUHTEMOC,19.42545,-99.16522,2017-08-19 04:00:00,5,Saturday,1993
